epoch,train_loss,train_acc,train_macro_f1,val_loss,val_acc,val_macro_f1,lr,epoch_time_sec
1,0.663827515202215,0.7917414721723519,0.7320424223138791,0.36979345823156423,0.8879310344827587,0.8570541125541127,0.001,22.312960624694824
2,0.2334834667494524,0.9353680430879713,0.9118867850982761,0.29894538275126753,0.9051724137931034,0.8829498344792462,0.001,21.870582342147827
3,0.16822733546822888,0.9515260323159784,0.9318474005996332,0.2674494036312761,0.9051724137931034,0.8829498344792462,0.001,21.850744485855103
4,0.13554247024617888,0.9622980251346499,0.9474684593083478,0.242371234400519,0.9051724137931034,0.8837125237191652,0.001,22.136149883270264
5,0.11008245191625461,0.9766606822262118,0.9676091750757319,0.22553594564569407,0.9137931034482759,0.8948578000115003,0.001,21.804986000061035
6,0.095963294833524,0.9766606822262118,0.9677031663600673,0.21604966860393,0.9224137931034483,0.9071069518716577,0.001,21.775577068328857
7,0.08257494842770711,0.9856373429084381,0.9804183872730204,0.20665618674508457,0.9224137931034483,0.9071069518716577,0.001,21.999868154525757
8,0.0656618105658937,0.992818671454219,0.9899002818731131,0.21142293255904626,0.9224137931034483,0.9071069518716577,0.001,22.05835247039795
9,0.06255271014902922,0.9856373429084381,0.9796763463634452,0.1995507889780505,0.9224137931034483,0.9071069518716577,0.001,22.260744333267212
10,0.05608626106951245,0.9910233393177738,0.9872847922588216,0.1922744553664635,0.9224137931034483,0.9071069518716577,0.001,22.077862977981567
11,0.048870039719225475,0.9946140035906643,0.9924147191130667,0.19083836315007047,0.9224137931034483,0.9071069518716577,0.001,21.97990322113037
12,0.043905875419853406,0.9946140035906643,0.9924020186319064,0.18822785595367694,0.9224137931034483,0.9071069518716577,0.001,21.988555431365967
13,0.04274076241431373,0.992818671454219,0.9898387472537934,0.1865863234832369,0.9224137931034483,0.9071069518716577,0.001,21.869516134262085
14,0.037126881764328885,0.9982046678635548,0.9975151444997492,0.18436626524760805,0.9224137931034483,0.9071069518716577,0.001,22.127949476242065
15,0.03326971136715725,0.9946140035906643,0.9924020186319064,0.18835796158889245,0.9310344827586207,0.9192281639928698,0.001,22.128163814544678
16,0.031096968480471113,0.9964093357271095,0.9949025974025973,0.1867768538409266,0.9224137931034483,0.9071069518716577,0.001,22.041093826293945
17,0.025929213265756302,1.0,1.0,0.1849546748502501,0.9224137931034483,0.9071069518716577,0.001,22.037370681762695
18,0.02481556022991184,1.0,1.0,0.18552502116252637,0.9224137931034483,0.9071069518716577,0.001,22.09406805038452
19,0.025931101454140976,1.0,1.0,0.1795796448814458,0.9224137931034483,0.9071069518716577,0.001,22.07446789741516
20,0.02345684352305783,1.0,1.0,0.18492375057319116,0.9310344827586207,0.9192281639928698,0.001,22.134153127670288
21,0.02040652862517581,0.9982046678635548,0.9975151444997492,0.1821906761876468,0.9310344827586207,0.9199411764705883,0.001,22.080472707748413
22,0.020388088822766093,0.9982046678635548,0.9974518157841347,0.18347107439205565,0.9310344827586207,0.9199411764705883,0.001,22.19472622871399
23,0.019505728084654204,1.0,1.0,0.1860662007640148,0.9224137931034483,0.9071069518716577,0.001,22.153098106384277
24,0.017719133064833,1.0,1.0,0.18128969802938658,0.9224137931034483,0.9071069518716577,0.001,22.083768367767334
25,0.017174221873718115,1.0,1.0,0.18155694264790107,0.9224137931034483,0.9071069518716577,0.001,22.105496168136597
26,0.014849669014102038,1.0,1.0,0.18523616908953108,0.9310344827586207,0.9144693881152822,0.001,22.112876176834106
27,0.016022595997876362,0.9982046678635548,0.9974505744326716,0.18992990974722238,0.9224137931034483,0.9071069518716577,0.001,22.101677656173706
28,0.016223015205155476,0.9982046678635548,0.9974518157841347,0.18752822922221546,0.9224137931034483,0.9071069518716577,0.001,22.110983848571777
29,0.013712135876764675,1.0,1.0,0.1883577180319819,0.9224137931034483,0.9071069518716577,0.001,22.092294454574585
30,0.011853883758561829,1.0,1.0,0.18849292962715544,0.9224137931034483,0.9071069518716577,0.001,22.170148849487305
31,0.01216272220577329,1.0,1.0,0.18914779635338946,0.9224137931034483,0.9071069518716577,0.001,22.202815055847168
32,0.010753332786061392,1.0,1.0,0.1820133228240342,0.9396551724137931,0.92734817599407,0.001,22.12435007095337
33,0.011298850636019687,1.0,1.0,0.19134417895613046,0.9310344827586207,0.9144693881152822,0.001,22.20877456665039
34,0.00973888991577835,1.0,1.0,0.18927765175186353,0.9224137931034483,0.9071069518716577,0.001,22.01606774330139
35,0.008211910452098457,1.0,1.0,0.1894057778448894,0.9224137931034483,0.9071069518716577,0.001,22.123241662979126
36,0.009711206919485219,1.0,1.0,0.18985830298785505,0.9224137931034483,0.9071069518716577,0.001,22.046674728393555
37,0.010348408897633077,1.0,1.0,0.19159166360723562,0.9224137931034483,0.9071069518716577,0.001,22.1310555934906
38,0.01050042005881159,1.0,1.0,0.19198412216942887,0.9224137931034483,0.9071069518716577,0.001,22.152731895446777
39,0.010372262942994304,0.9982046678635548,0.9974518157841347,0.19331721653198375,0.9310344827586207,0.9144693881152822,0.001,21.986568927764893
40,0.009321089334036867,1.0,1.0,0.19374629778080973,0.9224137931034483,0.9071069518716577,0.001,22.182647466659546
41,0.008581325309802535,1.0,1.0,0.18972082307626462,0.9224137931034483,0.9071069518716577,0.001,22.14958381652832
42,0.00710698007313364,1.0,1.0,0.1882465553694758,0.9396551724137931,0.92734817599407,0.001,22.11687159538269
43,0.007200538385592575,1.0,1.0,0.1942808473932332,0.9310344827586207,0.9144693881152822,0.001,22.125219106674194
44,0.009087713797287464,1.0,1.0,0.19295649153405223,0.9224137931034483,0.9071069518716577,0.001,22.2512423992157
45,0.00688042701849015,1.0,1.0,0.19043589640280295,0.9310344827586207,0.9199411764705883,0.001,22.09275484085083
46,0.007072319239846145,1.0,1.0,0.1882468950131844,0.9310344827586207,0.9144693881152822,0.001,22.20823860168457
47,0.007528801918484578,1.0,1.0,0.19144311470204387,0.9310344827586207,0.9144693881152822,0.001,22.090479612350464
48,0.007446345224428112,1.0,1.0,0.19219362119148517,0.9310344827586207,0.9144693881152822,0.001,22.107792377471924
49,0.005862703591399563,1.0,1.0,0.18895884166503774,0.9310344827586207,0.9144693881152822,0.001,22.312921047210693
50,0.005867882027279057,1.0,1.0,0.1907356008887291,0.9396551724137931,0.9218360071301248,0.001,22.02075481414795
